,game,total_reviews,rating,primary_genre,peak_players,avg_reviews
61823,Divinity: Original Sin Enhanced Edition,23469,88.28,RPG,7565,3.1023132848645076
63714,1000 Heads Among the Trees,119,53.53,Indie,1600,0.074375
28,Barotrauma,44963,90.99,Indie,19655,2.2876112948359197
52332,Aaero,850,79.13,Indie,289,2.9411764705882355
52150,Serious Sam VR: The Last Hope,1322,80.86,Action,362,3.6519337016574585
9301,Rift Loopers,90,68.98,Indie,111,0.8108108108108109
62626,Pretty Girls Mahjong Solitaire,721,73.14,Casual,116,6.2155172413793105
65915,Spelunky,15396,89.8,Indie,2919,5.2744090441932165
27925,The Outer Worlds,22718,82.48,RPG,20349,1.1164184972234508
45282,X4: Foundations,15885,75.26,Simulation,15198,1.0452033162258192
1411,Minds of Nations,484,70.59,Strategy,127,3.811023622047244
59606,Strike Squadron: Caracará,11,66.76,Action,138,0.07971014492753623
27022,Door Kickers 2,6407,93.5,Strategy,913,7.017524644030668
47668,Sword Legacy Omen,640,63.53,Strategy,138,4.63768115942029
60916,Silver Knight,87,52.13,Indie,1460,0.05958904109589041
64738,Back to Bed,2596,78.17,Indie,30771,0.08436514900393227
59794,The Lords of the Earth Flame,254,65.01,Indie,965,0.2632124352331606
62356,Resident Evil Revelations 2,23505,77.1,Adventure,3686,6.37683125339121
17103,Airport CEO,6262,82.16,Simulation,2745,2.281238615664845
36301,NGU IDLE,9770,93.35,Indie,8032,1.2163844621513944
67520,Sid Meier's Civilization IV,2844,88.98,Strategy,2314,1.2290406222990493
30302,POLYGON,19809,71.62,Action,1247,15.88532477947073
65948,TrackMania² Stadium,6310,85.97,Racing,3597,1.7542396441479011
27615,3dSen,381,84.87,Action,106,3.5943396226415096
65457,Ship Simulator: Maritime Search and Rescue,162,56.78,Simulation,117,1.3846153846153846
44176,Simmiland,1515,83.97,Simulation,749,2.022696929238985
57103,Songs of Araiah: Re-Mastered Edition,4,40.4,Adventure,183,0.02185792349726776
36359,Enderal: Forgotten Stories,11327,91.36,RPG,5983,1.8931973926124017
64855,Infinity Wars - Animated Trading Card Game,3438,74.96,Strategy,1635,2.1027522935779817
57624,IMSCARED,1801,88.4,Indie,158,11.39873417721519
67265,Grand Theft Auto III,13529,84.42,Action,640,21.1390625
3692,Kinkoi Golden Time,365,89.72,Adventure,328,1.1128048780487805
32813,Cricket Captain 2020,96,62.46,Sports,182,0.5274725274725275
60985,ShapeShifter,153,50.77,Indie,2915,0.05248713550600343
67333,The Wonderful End of the World,619,73.15,Indie,2454,0.25224123879380606
65929,Bleed,1859,88.4,Indie,249,7.465863453815261
66023,Hate Plus,574,79.1,Indie,312,1.8397435897435896
27251,Super Bit Blaster XL,694,88.44,Action,490,1.416326530612245
27015,Besiege,45196,93.75,Indie,11206,4.033196501873996
53156,Eador. Imperium,1190,73.18,Strategy,238,5.0
47772,Frozen Synapse 2,227,62.94,Strategy,413,0.549636803874092
50903,NBA 2K19,22874,39.6,Sports,29202,0.7833025135264708
5346,Lost Marbles,48,67.25,Indie,311,0.15434083601286175
1404,Out of the Park Baseball 24,192,70.7,Sports,1354,0.14180206794682423
37704,Staxel,4427,77.34,RPG,2644,1.674357034795764
17660,Noble Fates,1032,79.46,Simulation,1139,0.9060579455662863
32966,Hunting Simulator 2,582,61.87,Simulation,383,1.5195822454308094
65721,Psichodelya,99,42.05,Action,1080,0.09166666666666666
28423,Sokpop S06: fishy,278,79.66,Indie,176,1.5795454545454546
27695,OshiRabu: Waifus Over Husbandos,3674,84.21,Adventure,1126,3.2628774422735347
4197,NecroBouncer: Prologue,206,84.92,Action,419,0.4916467780429594
65193,Echelon: Wind Warriors,86,65.47,Simulation,991,0.08678102926337034
27599,Shantae and the Seven Sirens,1323,85.02,Adventure,795,1.6641509433962265
59403,Mind Games,168,68.26,Indie,367,0.45776566757493187
64970,FarSky,3854,72.12,Adventure,439,8.779043280182233
27181,Unbound: Worlds Apart Prologue,883,89.67,Indie,280,3.1535714285714285
64255,Second Warfare,99,31.44,Action,139,0.7122302158273381
55640,The Inevitability,96,57.01,Indie,1350,0.07111111111111111
17728,OLEG MONGOL,152,79.25,Simulation,218,0.6972477064220184
3882,ヘブンバーンズレッド,2529,87.33,RPG,20201,0.12519182218702044
67413,Team Fortress 2,945686,93.07,Free,167951,5.630725628308257
36349,What Never Was,4591,91.58,Adventure,181,25.364640883977902
48724,Top Down Racer,27,58.21,Racing,201,0.13432835820895522
60936,Sparkle ZERO,324,51.78,Action,361,0.8975069252077562
58894,Colours of Magic: Aqua Teeter,89,72.93,Casual,428,0.20794392523364486
6746,Elf Sex Farm,341,75.11,Indie,634,0.5378548895899053
67022,Call of Juarez: Bound in Blood,3333,82.86,Action,1444,2.3081717451523547
18513,Carrier Command 2,2305,76.42,Simulation,2696,0.8549703264094956
62402,The Secret of Tremendous Corporation,332,76.37,Adventure,127,2.6141732283464565
37242,Secret Neighbor Beta,2869,80.46,Indie,3779,0.7591955543794655
59671,Astral Heroes,302,66.04,Strategy,264,1.143939393939394
19194,The Bus,4398,74.06,Simulation,1660,2.649397590361446
23436,打怪! Beat the Mons!,4,59.6,Indie,134,0.029850746268656716
5488,One More Gate: A Wakfu Legend,198,78.97,Strategy,554,0.3574007220216607
6913,The Scarlet Demonslayer,214,74.72,Indie,363,0.5895316804407713
57816,You Have 10 Seconds 2,660,84.73,Free,338,1.952662721893491
16490,OPPAI Academy Big Bouncy Booby Babes!,471,86.26,Adventure,124,3.7983870967741935
60131,Unforgiving Trials: The Darkest Crusade,634,61.89,RPG,7692,0.08242329693187728
3786,Potato Flowers in Full Bloom,316,88.3,RPG,272,1.161764705882353
16014,Car Mechanic Simulator 2021,18793,93.42,Simulation,22561,0.8329861265014848
48391,Archimedes,207,74.14,Strategy,1341,0.15436241610738255
57191,The Spirit Underneath,107,38.35,Indie,2921,0.03663129065388566
38693,Spaceland,364,72.14,Strategy,126,2.888888888888889
63606,Curse of Mermos,263,56.03,Action,164,1.603658536585366
57919,Gnomes Garden 2,172,82.99,Strategy,2651,0.06488117691437194
64705,Battlepillars Gold Edition,324,79.02,Strategy,314,1.0318471337579618
48637,Animal Jam,3270,58.93,Free,5009,0.6528249151527251
64,Gorilla Tag,28996,88.26,Action,1679,17.269803454437167
28690,Grisaia Phantom Trigger Vol.7,105,78.38,Adventure,183,0.5737704918032787
62380,Fake Colours,152,76.69,Casual,1984,0.07661290322580645
59772,Gem Monster,27,65.25,Adventure,1123,0.02404274265360641
49580,Fractured Lands,424,52.17,Action,183,2.3169398907103824
44103,Disgaea 5 Complete,3005,84.91,RPG,2191,1.371519853947969
61996,Company of Heroes: Europe at War,1098,83.92,Strategy,126,8.714285714285714
32602,Gift Girl,553,63.46,Casual,110,5.027272727272727
65548,MotoGP™14,518,52.13,Racing,151,3.4304635761589406
50335,Envoy of Nezphere,28,45.45,Action,191,0.14659685863874344
12068,Tower! Simulator 3,186,60.23,Simulation,117,1.5897435897435896
58767,Okhlos: Omega,828,73.89,Indie,507,1.6331360946745561
52399,Henry The Hamster Handler VR,32,78.48,Casual,154,0.2077922077922078
36602,Eliza,1423,86.65,Indie,113,12.5929203539823
59710,Cards of Cthulhu,233,65.75,RPG,2197,0.10605370960400547
50048,忍者村大战RC2,290,48.87,Massively,115,2.5217391304347827
66016,Magic 2014 ,4553,80.02,Strategy,14104,0.32281622234827
67414,S.T.A.L.K.E.R.: Shadow of Chernobyl,34529,92.56,Action,2308,14.960571923743501
54823,Nyheim,79,62.52,Strategy,750,0.10533333333333333
67271,FlatOut: Ultimate Carnage,4307,83.68,Racing,168,25.636904761904763
5209,Tiny Tactics,549,79.97,Strategy,1468,0.3739782016348774
65404,Hunters Of The Dead,150,58.83,Indie,267,0.5617977528089888
61899,The Book of Unwritten Tales 2,883,86.22,Adventure,419,2.107398568019093
51696,Press X to Not Die,3525,86.7,Action,113,31.194690265486727
66161,Salvation Prophecy,226,62.82,Action,165,1.3696969696969696
27500,Royal Alchemist,234,85.85,Simulation,102,2.2941176470588234
52967,Mob Rule Classic,199,74.23,Simulation,236,0.8432203389830508
57539,Wuppo - Definitive Edition,5007,91.3,Indie,2273,2.2028156621205457
18151,英雄伝説 創の軌跡,719,77.75,RPG,942,0.7632696390658175
44515,Cows VS Vikings,425,80.68,Strategy,221,1.9230769230769231
56172,Two Worlds II HD - Call of the Tenebrae,56,52.51,RPG,11811,0.004741342816018965
18519,HammerHelm,322,76.37,Action,101,3.1881188118811883
26997,Maitetsu:Last Run!!,2846,94.29,Adventure,438,6.497716894977169
62562,Trigonarium,36,73.93,Indie,178,0.20224719101123595
575,Rogue AI Simulator,249,78.47,Simulation,264,0.9431818181818182
51435,The Culling 2,160,24.05,Action,249,0.642570281124498
6319,White Mirror,347,54.42,Indie,1555,0.22315112540192927
61939,Grand Theft Auto V,1539206,85.25,Action,364548,4.222231365965524
