,Año,Spain,Portugal,France,Andorra,Morocco,Belgium,Germany,Italy,United Kingdom
0,1980,25.5,8.3000002,16.9,24.799999,0.69999999,25.5,24.5,20.5,35.700001
1,1981,25.299999,8.0,17.6,24.9,0.69999999,25.4,24.5,21.0,35.400002
2,1982,25.200001,7.8000002,18.700001,24.9,0.69999999,25.299999,24.6,21.4,34.799999
3,1983,25.0,7.5,19.9,25.0,0.69999999,25.200001,24.700001,21.799999,34.099998
4,1984,24.9,7.4000001,21.200001,25.1,0.69999999,25.0,24.700001,22.1,33.299999
5,1985,24.9,7.3000002,22.5,25.1,0.69999999,24.9,24.6,22.299999,32.400002
6,1986,25.0,7.4000001,23.700001,25.1,0.69999999,24.700001,24.5,22.5,31.4
7,1987,25.1,7.5999999,24.799999,25.1,0.69999999,24.6,24.299999,22.799999,30.4
8,1988,25.5,8.1999998,25.6,25.1,0.69999999,24.6,23.9,23.1,29.4
9,1989,26.200001,8.8999996,26.200001,25.0,0.69999999,24.6,23.299999,23.1,28.700001
10,1990,26.700001,9.3999996,26.4,24.9,0.69999999,24.6,22.6,22.9,28.299999
11,1991,27.0,9.8000002,26.299999,24.9,0.69999999,24.700001,21.9,22.200001,28.0
12,1992,26.9,9.8999996,26.299999,24.799999,0.69999999,25.0,21.200001,21.6,27.799999
13,1993,26.5,9.8000002,26.1,24.700001,0.69999999,25.4,20.6,21.0,27.6
14,1994,26.0,9.5,26.1,24.700001,0.69999999,25.799999,20.0,20.4,27.5
15,1995,25.299999,9.0,26.1,24.6,0.60000002,25.6,19.6,19.9,27.5
16,1996,24.5,8.6999998,26.299999,24.5,0.60000002,25.299999,20.1,19.299999,27.4
17,1997,23.799999,9.0,26.5,24.4,0.60000002,24.700001,20.700001,18.799999,27.200001
18,1998,23.200001,9.5,26.700001,24.4,0.60000002,24.1,21.200001,18.4,26.9
19,1999,22.799999,10.1,26.9,24.4,0.60000002,23.4,21.4,18.299999,26.5
20,2000,22.700001,10.8,26.9,24.4,0.60000002,22.6,21.299999,18.4,26.0
21,2001,22.799999,11.5,26.700001,24.299999,0.60000002,21.9,21.0,18.5,25.5
22,2002,23.0,12.2,26.200001,24.200001,0.60000002,21.799999,20.5,18.5,24.9
23,2003,23.0,12.5,25.299999,24.0,0.60000002,21.6,19.9,18.299999,24.200001
24,2004,23.0,12.8,24.299999,23.700001,0.60000002,21.5,19.700001,18.0,23.4
25,2005,22.9,13.0,23.700001,23.4,0.60000002,21.700001,19.700001,17.799999,22.6
26,2006,22.6,13.2,23.299999,23.1,0.60000002,22.1,19.6,17.6,21.799999
27,2007,22.1,13.4,23.200001,22.799999,0.69999999,22.4,19.4,17.700001,20.9
28,2008,21.700001,13.6,23.200001,22.6,0.69999999,22.799999,19.299999,18.0,20.1
29,2009,21.200001,13.8,23.4,22.299999,0.69999999,23.200001,19.200001,18.4,19.4
30,2010,20.9,13.8,23.5,22.1,0.69999999,23.4,19.1,18.799999,18.9
31,2011,20.700001,13.7,23.6,22.0,0.69999999,23.4,19.0,19.1,18.700001
32,2012,20.6,13.5,23.700001,22.0,0.69999999,23.4,18.9,19.299999,18.700001
